Left Speed |	 Right Speed |	 Left Error |	 Right Error |	 Left Effort |	 Right Effort |	
45.81 |	54.98 |	4.19 |	-4.98 |	23.15 |	19.79
51.92 |	48.87 |	-1.92 |	1.13 |	21.13 |	21.74
54.98 |	45.81 |	-4.98 |	4.19 |	19.71 |	23.07
45.81 |	51.92 |	4.19 |	-1.92 |	22.88 |	21.05
48.87 |	51.92 |	1.13 |	-1.92 |	22.08 |	20.86
51.92 |	48.87 |	-1.92 |	1.13 |	20.97 |	21.88
51.92 |	48.87 |	-1.92 |	1.13 |	20.78 |	22.00
48.87 |	48.87 |	1.13 |	1.13 |	21.81 |	22.11
48.87 |	48.87 |	1.13 |	1.13 |	21.92 |	22.22
18.33 |	51.92 |	31.67 |	-1.92 |	34.25 |	21.12
6.11 |	51.92 |	43.89 |	-1.92 |	42.30 |	20.92
24.43 |	48.87 |	25.57 |	1.13 |	39.36 |	21.95
24.43 |	48.87 |	25.57 |	1.13 |	41.92 |	22.07
18.33 |	48.87 |	31.67 |	1.13 |	46.92 |	22.18
15.27 |	54.98 |	34.73 |	-4.98 |	51.31 |	19.85
24.43 |	45.81 |	25.57 |	4.19 |	51.12 |	23.02
39.71 |	48.87 |	10.29 |	1.13 |	47.56 |	22.21
33.60 |	51.92 |	16.40 |	-1.92 |	51.04 |	21.10
36.65 |	51.92 |	13.35 |	-1.92 |	51.45 |	20.91
30.54 |	48.87 |	19.46 |	1.13 |	55.23 |	21.94
27.49 |	45.81 |	22.51 |	4.19 |	58.40 |	23.28
30.54 |	51.92 |	19.46 |	-1.92 |	59.43 |	21.25
45.81 |	51.92 |	4.19 |	-1.92 |	55.27 |	21.06
122.17 |	51.92 |	-72.17 |	-1.92 |	25.14 |	20.87
113.01 |	45.81 |	-63.01 |	4.19 |	21.59 |	23.12
73.30 |	51.92 |	-23.30 |	-1.92 |	31.17 |	21.09
70.25 |	51.92 |	-20.25 |	-1.92 |	30.06 |	20.90
82.47 |	48.87 |	-32.47 |	1.13 |	23.15 |	21.93
70.25 |	48.87 |	-20.25 |	1.13 |	24.79 |	22.04
61.09 |	48.87 |	-11.09 |	1.13 |	26.43 |	22.16
64.14 |	51.92 |	-14.14 |	-1.92 |	24.10 |	21.05
64.14 |	51.92 |	-14.14 |	-1.92 |	22.69 |	20.85
58.03 |	48.87 |	-8.03 |	1.13 |	23.72 |	21.88
54.98 |	48.87 |	-4.98 |	1.13 |	24.13 |	22.00
58.03 |	48.87 |	-8.03 |	1.13 |	22.42 |	22.11
58.03 |	48.87 |	-8.03 |	1.13 |	21.61 |	22.22
51.92 |	54.98 |	-1.92 |	-4.98 |	23.25 |	19.89
54.98 |	48.87 |	-4.98 |	1.13 |	21.84 |	21.84
