Left Speed |	 Right Speed |	 Left Error |	 Right Error |	 Left Effort |	 Right Effort |	
0.00 |	0.00 |	50.00 |	50.00 |	500.00 |	500.00
348.19 |	345.14 |	-298.19 |	-295.14 |	-2981.93 |	-2951.39
122.17 |	134.39 |	-72.17 |	-84.39 |	-721.73 |	-843.90
-543.67 |	-543.67 |	593.67 |	593.67 |	5936.70 |	5936.70
-192.42 |	-167.99 |	242.42 |	217.99 |	2424.23 |	2179.88
528.40 |	519.24 |	-478.40 |	-469.24 |	-4783.98 |	-4692.35
262.67 |	274.89 |	-212.67 |	-224.89 |	-2126.72 |	-2248.89
-473.42 |	-464.26 |	523.42 |	514.26 |	5234.21 |	5142.58
-82.47 |	-91.63 |	132.47 |	141.63 |	1324.67 |	1416.30
562.00 |	546.72 |	-512.00 |	-496.72 |	-5119.96 |	-4967.24
241.29 |	271.84 |	-191.29 |	-221.84 |	-1912.92 |	-2218.35
-488.69 |	-473.42 |	538.69 |	523.42 |	5386.92 |	5234.21
-88.58 |	-97.74 |	138.58 |	147.74 |	1385.75 |	1477.38
552.83 |	537.56 |	-502.83 |	-487.56 |	-5028.33 |	-4875.61
174.10 |	186.31 |	-124.10 |	-136.31 |	-1240.97 |	-1363.14
-519.24 |	-519.24 |	569.24 |	569.24 |	5692.35 |	5692.35
-100.79 |	-116.06 |	150.79 |	166.06 |	1507.93 |	1660.64
546.72 |	534.51 |	-496.72 |	-484.51 |	-4967.24 |	-4845.07
146.61 |	143.55 |	-96.61 |	-93.55 |	-966.08 |	-935.53
-516.18 |	-522.29 |	566.18 |	572.29 |	5661.81 |	5722.90
-103.85 |	-119.12 |	153.85 |	169.12 |	1538.47 |	1691.19
543.67 |	525.34 |	-493.67 |	-475.34 |	-4936.70 |	-4753.44
137.44 |	149.66 |	-87.44 |	-99.66 |	-874.45 |	-996.62
-522.29 |	-525.34 |	572.29 |	575.34 |	5722.90 |	5753.44
-113.01 |	-128.28 |	163.01 |	178.28 |	1630.10 |	1782.82
537.56 |	513.13 |	-487.56 |	-463.13 |	-4875.61 |	-4631.27
122.17 |	109.96 |	-72.17 |	-59.96 |	-721.73 |	-599.56
-528.40 |	-534.51 |	578.40 |	584.51 |	5783.98 |	5845.07
-106.90 |	-119.12 |	156.90 |	169.12 |	1569.01 |	1691.19
537.56 |	522.29 |	-487.56 |	-472.29 |	-4875.61 |	-4722.90
122.17 |	122.17 |	-72.17 |	-72.17 |	-721.73 |	-721.73
-522.29 |	-522.29 |	572.29 |	572.29 |	5722.90 |	5722.90
-113.01 |	-125.23 |	163.01 |	175.23 |	1630.10 |	1752.27
531.45 |	513.13 |	-481.45 |	-463.13 |	-4814.53 |	-4631.27
113.01 |	106.90 |	-63.01 |	-56.90 |	-630.10 |	-569.01
-510.07 |	-513.13 |	560.07 |	563.13 |	5600.72 |	5631.27
-113.01 |	-113.01 |	163.01 |	163.01 |	1630.10 |	1630.10
528.40 |	516.18 |	-478.40 |	-466.18 |	-4783.98 |	-4661.81
119.12 |	113.01 |	-69.12 |	-63.01 |	-691.19 |	-630.10
-522.29 |	-522.29 |	572.29 |	572.29 |	5722.90 |	5722.90
-113.01 |	-125.23 |	163.01 |	175.23 |	1630.10 |	1752.27
516.18 |	488.69 |	-466.18 |	-438.69 |	-4661.81 |	-4386.92
116.06 |	106.90 |	-66.06 |	-56.90 |	-660.64 |	-569.01
-516.18 |	-519.24 |	566.18 |	569.24 |	5661.81 |	5692.35
-106.90 |	-116.06 |	156.90 |	166.06 |	1569.01 |	1660.64
528.40 |	503.96 |	-478.40 |	-453.96 |	-4783.98 |	-4539.64
119.12 |	109.96 |	-69.12 |	-59.96 |	-691.19 |	-599.56
-500.91 |	-503.96 |	550.91 |	553.96 |	5509.10 |	5539.64
-106.90 |	-116.06 |	156.90 |	166.06 |	1569.01 |	1660.64
522.29 |	503.96 |	-472.29 |	-453.96 |	-4722.90 |	-4539.64
119.12 |	113.01 |	-69.12 |	-63.01 |	-691.19 |	-630.10
-510.07 |	-516.18 |	560.07 |	566.18 |	5600.72 |	5661.81
-106.90 |	-122.17 |	156.90 |	172.17 |	1569.01 |	1721.73
510.07 |	488.69 |	-460.07 |	-438.69 |	-4600.72 |	-4386.92
119.12 |	106.90 |	-69.12 |	-56.90 |	-691.19 |	-569.01
-510.07 |	-516.18 |	560.07 |	566.18 |	5600.72 |	5661.81
-113.01 |	-122.17 |	163.01 |	172.17 |	1630.10 |	1721.73
516.18 |	500.91 |	-466.18 |	-450.91 |	-4661.81 |	-4509.10
116.06 |	116.06 |	-66.06 |	-66.06 |	-660.64 |	-660.64
-510.07 |	-513.13 |	560.07 |	563.13 |	5600.72 |	5631.27
-116.06 |	-122.17 |	166.06 |	172.17 |	1660.64 |	1721.73
513.13 |	494.80 |	-463.13 |	-444.80 |	-4631.27 |	-4448.01
119.12 |	109.96 |	-69.12 |	-59.96 |	-691.19 |	-599.56
-513.13 |	-516.18 |	563.13 |	566.18 |	5631.27 |	5661.81
-116.06 |	-134.39 |	166.06 |	184.39 |	1660.64 |	1843.90
507.02 |	482.58 |	-457.02 |	-432.58 |	-4570.18 |	-4325.84
125.23 |	103.85 |	-75.23 |	-53.85 |	-752.27 |	-538.47
-500.91 |	-516.18 |	550.91 |	566.18 |	5509.10 |	5661.81
-116.06 |	-134.39 |	166.06 |	184.39 |	1660.64 |	1843.90
503.96 |	488.69 |	-453.96 |	-438.69 |	-4539.64 |	-4386.92
125.23 |	113.01 |	-75.23 |	-63.01 |	-752.27 |	-630.10
-497.86 |	-510.07 |	547.86 |	560.07 |	5478.55 |	5600.72
-109.96 |	-125.23 |	159.96 |	175.23 |	1599.56 |	1752.27
510.07 |	491.75 |	-460.07 |	-441.75 |	-4600.72 |	-4417.47
125.23 |	109.96 |	-75.23 |	-59.96 |	-752.27 |	-599.56
-491.75 |	-513.13 |	541.75 |	563.13 |	5417.47 |	5631.27
-113.01 |	-140.50 |	163.01 |	190.50 |	1630.10 |	1904.99
503.96 |	479.53 |	-453.96 |	-429.53 |	-4539.64 |	-4295.29
116.06 |	103.85 |	-66.06 |	-53.85 |	-660.64 |	-538.47
-507.02 |	-510.07 |	557.02 |	560.07 |	5570.18 |	5600.72
-116.06 |	-134.39 |	166.06 |	184.39 |	1660.64 |	1843.90
503.96 |	482.58 |	-453.96 |	-432.58 |	-4539.64 |	-4325.84
119.12 |	116.06 |	-69.12 |	-66.06 |	-691.19 |	-660.64
-497.86 |	-503.96 |	547.86 |	553.96 |	5478.55 |	5539.64
-113.01 |	-134.39 |	163.01 |	184.39 |	1630.10 |	1843.90
503.96 |	476.47 |	-453.96 |	-426.47 |	-4539.64 |	-4264.75
122.17 |	113.01 |	-72.17 |	-63.01 |	-721.73 |	-630.10
-476.47 |	-491.75 |	526.47 |	541.75 |	5264.75 |	5417.47
-103.85 |	-122.17 |	153.85 |	172.17 |	1538.47 |	1721.73
507.02 |	476.47 |	-457.02 |	-426.47 |	-4570.18 |	-4264.75
125.23 |	106.90 |	-75.23 |	-56.90 |	-752.27 |	-569.01
-491.75 |	-503.96 |	541.75 |	553.96 |	5417.47 |	5539.64
-113.01 |	-131.34 |	163.01 |	181.34 |	1630.10 |	1813.36
485.64 |	464.26 |	-435.64 |	-414.26 |	-4356.38 |	-4142.58
109.96 |	100.79 |	-59.96 |	-50.79 |	-599.56 |	-507.93
-497.86 |	-507.02 |	547.86 |	557.02 |	5478.55 |	5570.18
-116.06 |	-131.34 |	166.06 |	181.34 |	1660.64 |	1813.36
494.80 |	476.47 |	-444.80 |	-426.47 |	-4448.01 |	-4264.75
119.12 |	113.01 |	-69.12 |	-63.01 |	-691.19 |	-630.10
-482.58 |	-491.75 |	532.58 |	541.75 |	5325.84 |	5417.47
-106.90 |	-128.28 |	156.90 |	178.28 |	1569.01 |	1782.82
500.91 |	473.42 |	-450.91 |	-423.42 |	-4509.10 |	-4234.21
119.12 |	106.90 |	-69.12 |	-56.90 |	-691.19 |	-569.01
-491.75 |	-503.96 |	541.75 |	553.96 |	5417.47 |	5539.64
-109.96 |	-131.34 |	159.96 |	181.34 |	1599.56 |	1813.36
488.69 |	464.26 |	-438.69 |	-414.26 |	-4386.92 |	-4142.58
122.17 |	109.96 |	-72.17 |	-59.96 |	-721.73 |	-599.56
-485.64 |	-497.86 |	535.64 |	547.86 |	5356.38 |	5478.55
-109.96 |	-125.23 |	159.96 |	175.23 |	1599.56 |	1752.27
497.86 |	476.47 |	-447.86 |	-426.47 |	-4478.55 |	-4264.75
125.23 |	106.90 |	-75.23 |	-56.90 |	-752.27 |	-569.01
-470.37 |	-482.58 |	520.37 |	532.58 |	5203.66 |	5325.84
-116.06 |	-128.28 |	166.06 |	178.28 |	1660.64 |	1782.82
494.80 |	473.42 |	-444.80 |	-423.42 |	-4448.01 |	-4234.21
125.23 |	106.90 |	-75.23 |	-56.90 |	-752.27 |	-569.01
-488.69 |	-494.80 |	538.69 |	544.80 |	5386.92 |	5448.01
-122.17 |	-131.34 |	172.17 |	181.34 |	1721.73 |	1813.36
488.69 |	470.37 |	-438.69 |	-420.37 |	-4386.92 |	-4203.66
119.12 |	106.90 |	-69.12 |	-56.90 |	-691.19 |	-569.01
-488.69 |	-497.86 |	538.69 |	547.86 |	5386.92 |	5478.55
-122.17 |	-134.39 |	172.17 |	184.39 |	1721.73 |	1843.90
491.75 |	470.37 |	-441.75 |	-420.37 |	-4417.47 |	-4203.66
125.23 |	109.96 |	-75.23 |	-59.96 |	-752.27 |	-599.56
-479.53 |	-488.69 |	529.53 |	538.69 |	5295.29 |	5386.92
-116.06 |	-122.17 |	166.06 |	172.17 |	1660.64 |	1721.73
488.69 |	470.37 |	-438.69 |	-420.37 |	-4386.92 |	-4203.66
122.17 |	106.90 |	-72.17 |	-56.90 |	-721.73 |	-569.01
-479.53 |	-491.75 |	529.53 |	541.75 |	5295.29 |	5417.47
-125.23 |	-137.44 |	175.23 |	187.44 |	1752.27 |	1874.45
476.47 |	455.09 |	-426.47 |	-405.09 |	-4264.75 |	-4050.95
119.12 |	103.85 |	-69.12 |	-53.85 |	-691.19 |	-538.47
-476.47 |	-494.80 |	526.47 |	544.80 |	5264.75 |	5448.01
-119.12 |	-134.39 |	169.12 |	184.39 |	1691.19 |	1843.90
482.58 |	458.15 |	-432.58 |	-408.15 |	-4325.84 |	-4081.49
131.34 |	103.85 |	-81.34 |	-53.85 |	-813.36 |	-538.47
-470.37 |	-485.64 |	520.37 |	535.64 |	5203.66 |	5356.38
-113.01 |	-125.23 |	163.01 |	175.23 |	1630.10 |	1752.27
488.69 |	467.31 |	-438.69 |	-417.31 |	-4386.92 |	-4173.12
122.17 |	109.96 |	-72.17 |	-59.96 |	-721.73 |	-599.56
-479.53 |	-488.69 |	529.53 |	538.69 |	5295.29 |	5386.92
-122.17 |	-131.34 |	172.17 |	181.34 |	1721.73 |	1813.36
476.47 |	461.20 |	-426.47 |	-411.20 |	-4264.75 |	-4112.03
122.17 |	106.90 |	-72.17 |	-56.90 |	-721.73 |	-569.01
-479.53 |	-491.75 |	529.53 |	541.75 |	5295.29 |	5417.47
-116.06 |	-131.34 |	166.06 |	181.34 |	1660.64 |	1813.36
485.64 |	467.31 |	-435.64 |	-417.31 |	-4356.38 |	-4173.12
119.12 |	106.90 |	-69.12 |	-56.90 |	-691.19 |	-569.01
-473.42 |	-491.75 |	523.42 |	541.75 |	5234.21 |	5417.47
-119.12 |	-128.28 |	169.12 |	178.28 |	1691.19 |	1782.82
479.53 |	464.26 |	-429.53 |	-414.26 |	-4295.29 |	-4142.58
122.17 |	103.85 |	-72.17 |	-53.85 |	-721.73 |	-538.47
-458.15 |	-476.47 |	508.15 |	526.47 |	5081.49 |	5264.75
-109.96 |	-131.34 |	159.96 |	181.34 |	1599.56 |	1813.36
482.58 |	464.26 |	-432.58 |	-414.26 |	-4325.84 |	-4142.58
119.12 |	109.96 |	-69.12 |	-59.96 |	-691.19 |	-599.56
-479.53 |	-485.64 |	529.53 |	535.64 |	5295.29 |	5356.38
-109.96 |	-128.28 |	159.96 |	178.28 |	1599.56 |	1782.82
470.37 |	452.04 |	-420.37 |	-402.04 |	-4203.66 |	-4020.40
125.23 |	106.90 |	-75.23 |	-56.90 |	-752.27 |	-569.01
-473.42 |	-485.64 |	523.42 |	535.64 |	5234.21 |	5356.38
-122.17 |	-128.28 |	172.17 |	178.28 |	1721.73 |	1782.82
476.47 |	467.31 |	-426.47 |	-417.31 |	-4264.75 |	-4173.12
119.12 |	100.79 |	-69.12 |	-50.79 |	-691.19 |	-507.93
-464.26 |	-476.47 |	514.26 |	526.47 |	5142.58 |	5264.75
-116.06 |	-125.23 |	166.06 |	175.23 |	1660.64 |	1752.27
482.58 |	467.31 |	-432.58 |	-417.31 |	-4325.84 |	-4173.12
122.17 |	103.85 |	-72.17 |	-53.85 |	-721.73 |	-538.47
-473.42 |	-488.69 |	523.42 |	538.69 |	5234.21 |	5386.92
-122.17 |	-128.28 |	172.17 |	178.28 |	1721.73 |	1782.82
461.20 |	455.09 |	-411.20 |	-405.09 |	-4112.03 |	-4050.95
116.06 |	100.79 |	-66.06 |	-50.79 |	-660.64 |	-507.93
-479.53 |	-491.75 |	529.53 |	541.75 |	5295.29 |	5417.47
-122.17 |	-131.34 |	172.17 |	181.34 |	1721.73 |	1813.36
476.47 |	461.20 |	-426.47 |	-411.20 |	-4264.75 |	-4112.03
128.28 |	119.12 |	-78.28 |	-69.12 |	-782.82 |	-691.19
-461.20 |	-470.37 |	511.20 |	520.37 |	5112.03 |	5203.66
-119.12 |	-131.34 |	169.12 |	181.34 |	1691.19 |	1813.36
476.47 |	458.15 |	-426.47 |	-408.15 |	-4264.75 |	-4081.49
122.17 |	109.96 |	-72.17 |	-59.96 |	-721.73 |	-599.56
-473.42 |	-482.58 |	523.42 |	532.58 |	5234.21 |	5325.84
-128.28 |	-140.50 |	178.28 |	190.50 |	1782.82 |	1904.99
467.31 |	448.99 |	-417.31 |	-398.99 |	-4173.12 |	-3989.86
119.12 |	106.90 |	-69.12 |	-56.90 |	-691.19 |	-569.01
-467.31 |	-485.64 |	517.31 |	535.64 |	5173.12 |	5356.38
-122.17 |	-137.44 |	172.17 |	187.44 |	1721.73 |	1874.45
473.42 |	461.20 |	-423.42 |	-411.20 |	-4234.21 |	-4112.03
128.28 |	113.01 |	-78.28 |	-63.01 |	-782.82 |	-630.10
-461.20 |	-473.42 |	511.20 |	523.42 |	5112.03 |	5234.21
-113.01 |	-134.39 |	163.01 |	184.39 |	1630.10 |	1843.90
476.47 |	458.15 |	-426.47 |	-408.15 |	-4264.75 |	-4081.49
122.17 |	113.01 |	-72.17 |	-63.01 |	-721.73 |	-630.10
-470.37 |	-473.42 |	520.37 |	523.42 |	5203.66 |	5234.21
-125.23 |	-140.50 |	175.23 |	190.50 |	1752.27 |	1904.99
461.20 |	448.99 |	-411.20 |	-398.99 |	-4112.03 |	-3989.86
113.01 |	109.96 |	-63.01 |	-59.96 |	-630.10 |	-599.56
-470.37 |	-476.47 |	520.37 |	526.47 |	5203.66 |	5264.75
-125.23 |	-128.28 |	175.23 |	178.28 |	1752.27 |	1782.82
470.37 |	464.26 |	-420.37 |	-414.26 |	-4203.66 |	-4142.58
134.39 |	125.23 |	-84.39 |	-75.23 |	-843.90 |	-752.27
