42.76 |	48.87 |	7.24 |	1.13 |	27.35 |	23.99
27.49 |	48.87 |	22.51 |	1.13 |	34.18 |	24.10
24.43 |	51.92 |	25.57 |	-1.92 |	37.65 |	22.99
3.05 |	51.92 |	46.95 |	-1.92 |	48.76 |	22.80
6.11 |	48.87 |	43.89 |	1.13 |	52.24 |	23.83
12.22 |	45.81 |	37.78 |	4.19 |	54.18 |	25.17
85.52 |	51.92 |	-35.52 |	-1.92 |	28.64 |	23.14
88.58 |	51.92 |	-38.58 |	-1.92 |	23.86 |	22.95
61.09 |	51.92 |	-11.09 |	-1.92 |	31.00 |	22.76
61.09 |	48.87 |	-11.09 |	1.13 |	29.89 |	23.79
64.14 |	48.87 |	-14.14 |	1.13 |	27.56 |	23.90
61.09 |	51.92 |	-11.09 |	-1.92 |	27.37 |	22.79
54.98 |	45.81 |	-4.98 |	4.19 |	28.71 |	25.04
58.03 |	54.98 |	-8.03 |	-4.98 |	26.99 |	21.79
54.98 |	48.87 |	-4.98 |	1.13 |	27.40 |	23.74
58.03 |	48.87 |	-8.03 |	1.13 |	25.69 |	23.85
54.98 |	51.92 |	-4.98 |	-1.92 |	26.10 |	22.74
51.92 |	48.87 |	-1.92 |	1.13 |	26.83 |	23.77
51.92 |	48.87 |	-1.92 |	1.13 |	26.64 |	23.89
54.98 |	51.92 |	-4.98 |	-1.92 |	25.22 |	22.78
51.92 |	48.87 |	-1.92 |	1.13 |	25.95 |	23.81
51.92 |	51.92 |	-1.92 |	-1.92 |	25.75 |	22.70
51.92 |	48.87 |	-1.92 |	1.13 |	25.56 |	23.73
51.92 |	51.92 |	-1.92 |	-1.92 |	25.37 |	22.62
48.87 |	48.87 |	1.13 |	1.13 |	26.40 |	23.65
51.92 |	48.87 |	-1.92 |	1.13 |	25.29 |	23.76
54.98 |	51.92 |	-4.98 |	-1.92 |	23.87 |	22.65
48.87 |	48.87 |	1.13 |	1.13 |	25.82 |	23.68
48.87 |	51.92 |	1.13 |	-1.92 |	25.93 |	22.57
